R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Chelsea,19,17,1,1,68,14,+54,52,LWWWWW,24.8,16,2,59.8,84.6,11.8,1,8,7
2,Manchester United,19,16,1,2,52,12,+40,49,WWWLWW,20.8,23,0,59.2,82.4,11.3,0,5,5
3,Arsenal,19,15,2,2,48,15,+33,47,WWWWDW,19.2,24,1,61,83.7,11.9,2,3,1
4,Tottenham,19,14,2,3,40,12,+28,44,WWWWWW,21.3,26,0,52.5,78.5,11.1,2,2,0
5,Liverpool,19,13,3,3,43,15,+28,42,WWWDWL,20.1,21,2,59.8,80.1,11.3,2,2,0
6,Manchester City,19,12,4,3,41,20,+21,40,LWWLWL,15.2,21,0,53.9,78.3,11.8,3,4,1
7,Everton,19,11,6,2,35,21,+14,39,WWWDWW,17.8,20,1,54,76.6,11.6,2,4,2
8,Fulham,19,11,3,5,27,15,+12,36,WLWDWL,14.4,15,0,51.1,74.1,11.1,0,1,1
9,Blackburn,19,10,6,3,28,18,+10,36,WDWDLW,13.8,27,1,44.8,64.7,14.3,1,1,0
10,Sunderland,19,9,7,3,32,19,+13,34,WDWWWL,12.8,41,2,46.4,67.2,14.6,1,7,6
11,Birmingham,19,8,9,2,19,13,+6,33,WDDDDW,12.5,35,1,47.7,67.2,11.5,0,3,3
12,Aston Villa,19,8,8,3,29,16,+13,32,WDDDWL,14.1,23,0,48.2,73,12.7,0,2,2
13,Stoke,19,7,6,6,24,21,+3,27,LDLWLD,11.5,29,3,40.9,61.5,13.8,3,2,-1
14,West Ham,19,7,5,7,30,29,+1,26,LLLWWD,16.1,26,1,49.9,74.7,13.6,3,7,4
15,Burnley,19,7,5,7,25,30,-5,26,DLLLLW,12.6,20,0,49.3,68.4,11.6,5,3,-2
16,Wigan,19,6,7,6,19,24,-5,25,WLWDWD,15.8,27,0,54.3,75.3,12.8,1,1,0
17,Bolton,19,6,6,7,26,31,-5,24,WWLLDW,16.2,35,2,43,64.9,14.2,1,2,1
18,Hull,19,6,6,7,22,29,-7,24,LWLLLD,11.8,28,3,43.6,67.2,15.1,4,6,2
19,Wolverhampton Wanderers,19,5,6,8,13,22,-9,21,LLDDDW,13.1,24,1,50,69.1,12.6,2,2,0
20,Portsmouth,19,5,3,11,24,32,-8,18,LWLDLW,16.5,36,3,49.3,75.4,12.6,5,3,-2
