R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,38,23,11,4,78,37,+41,80,DWLWDW,16.3,56,3,56.3,81.3,11.1,6,5,-1
2,Chelsea,38,21,8,9,69,33,+36,71,WWWLDL,19.6,59,1,58.8,83.6,11.6,3,8,5
3,Manchester City,38,21,8,9,60,33,+27,71,WWLWWW,14.4,71,5,53.1,82.4,12.8,4,9,5
4,Arsenal,38,19,11,8,72,43,+29,68,DLWLLD,17.2,65,6,60.3,83.9,11.9,9,7,-2
5,Tottenham,38,16,14,8,55,46,+9,62,DLDLWW,17.3,51,2,53.8,80.1,10.5,6,7,1
6,Liverpool,38,17,7,14,59,44,+15,58,DWWWLL,15.3,63,2,52.1,77.1,12.1,7,7,0
7,Everton,38,13,15,10,51,45,+6,54,WLDWLW,15.3,55,5,50.6,76.1,13.1,2,4,2
8,Fulham,38,11,16,11,49,43,+6,49,DWWLWD,14.4,52,1,50.1,76.2,12.8,1,3,2
9,Aston Villa,38,12,12,14,48,59,-11,48,WDLDWW,13.3,71,2,48.7,74.1,12.3,4,5,1
10,Sunderland,38,12,11,15,45,56,-11,47,LWLWLW,14,57,5,48.3,71.8,11.6,6,5,-1
11,West Bromwich Albion,38,12,11,15,56,71,-15,47,LDWLWD,15.7,52,7,48.3,77.9,11.3,6,5,-1
12,Newcastle United,38,11,13,14,56,57,-1,46,DDLWDD,13.3,78,2,50.4,76.1,12.4,5,4,-1
13,Stoke,38,13,7,18,46,48,-2,46,DWDWLL,12.7,68,2,38.9,64,11.6,5,3,-2
14,Bolton,38,12,10,16,52,56,-4,46,WLLLLL,15,67,5,46.4,67,13.5,6,5,-1
15,Blackburn,38,11,10,17,46,59,-13,43,LLWDDW,11.9,65,5,41.3,65.2,13.1,8,2,-6
16,Wigan,38,9,15,14,40,61,-21,42,WLDDWW,13.4,67,4,50.1,75.5,13.1,6,3,-3
17,Wolverhampton Wanderers,38,11,7,20,46,66,-20,40,DLDWWL,12.1,62,2,50.7,72.3,12.6,4,3,-1
18,Birmingham,38,8,15,15,37,58,-21,39,LLDLLL,10.6,57,3,47.6,71.6,11.4,5,2,-3
19,Blackpool,38,10,9,19,55,78,-23,39,LDDDWL,14,47,2,49.6,76.4,11.6,3,8,5
20,West Ham,38,7,12,19,43,70,-27,33,LLLDLL,15.1,59,1,44.7,75.7,12.1,6,6,0
