R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,19,12,5,2,41,24,+17,41,WWWDDD,13.9,34,0,56.5,84.8,9.7,0,4,4
2,Arsenal,19,10,5,4,25,14,+11,35,LWWWWW,13.1,22,4,57.9,84.8,9.7,3,1,-2
3,Chelsea,19,10,4,5,34,23,+11,34,LLWDWW,13.4,33,1,53.7,82.1,11.2,1,5,4
4,Tottenham,19,10,4,5,37,28,+9,34,WLWDDW,15.4,29,1,52.5,83.2,10.4,3,0,-3
5,Manchester City,19,9,6,4,25,19,+6,33,WLWLDW,16.9,34,3,58.9,84.5,13.2,1,1,0
6,Liverpool,19,7,7,5,38,27,+11,28,WLWDWW,16.9,35,1,55.7,84,11.2,3,2,-1
7,Everton,19,4,9,6,22,23,-1,21,LDDLDL,15.5,29,2,52.1,79.4,11.8,2,1,-1
8,Aston Villa,19,5,6,8,24,41,-17,21,LWWLWD,10.7,42,0,44,77.6,12.1,6,1,-5
9,Swansea,19,5,5,9,19,25,-6,20,LLDLWL,10.5,33,0,53,83.9,10.8,4,0,-4
10,Fulham,19,4,7,8,22,30,-8,19,DWLDLW,9.8,28,0,49.5,82.6,11.1,2,2,0
11,West Bromwich Albion,19,5,3,11,21,32,-11,18,LDLWLL,10.9,36,3,44.6,77.7,11.8,6,2,-4
12,Wigan,19,5,3,11,21,34,-13,18,WDLLWL,12.3,38,2,54,82.6,11.4,2,0,-2
13,Southampton,19,3,7,9,23,36,-13,16,LDWDLD,11.9,20,0,51.3,77.4,10.4,4,2,-2
14,Sunderland,19,4,4,11,21,35,-14,16,LLLWLL,9.4,36,2,40.3,75,12.5,1,2,1
15,Stoke,19,2,8,9,13,23,-10,14,LLLWDD,8.9,45,2,42.1,71.8,13.1,3,3,0
16,Newcastle United,19,2,7,10,21,37,-16,13,LLLDDW,11.1,36,3,45.4,76.9,12.3,3,1,-2
17,West Ham,19,3,4,12,11,31,-20,13,WLDDLL,11.8,48,0,44.3,73.9,12.8,1,0,-1
18,Norwich,19,2,7,10,16,38,-22,13,LDLLLW,9.2,27,1,42.5,74,11.8,5,0,-5
19,Queens Park Rangers,19,2,5,12,17,32,-15,11,WLLLDL,11.7,37,1,42.8,77.9,11.5,1,2,1
20,Reading,19,2,2,15,20,40,-20,8,LLLLWL,11.1,24,0,40.5,70.7,10.9,2,1,-1
